order_id,date,channel,quantity,revenue_clp,cogs_clp,returned
181,2026-02-10,Organic,1,12741,4626,0
182,2026-04-24,Email,4,359960,132362,0
183,2026-07-19,Organic,4,84966,44115,0
184,2026-02-21,Referral,3,74970,30683,0
185,2026-04-22,Paid,2,28481,14134,1
186,2026-04-28,Paid,2,170981,67454,0
187,2026-05-26,Organic,3,119970,52063,1
188,2026-02-13,Email,3,74970,42201,0
189,2026-06-06,Paid,2,71982,28015,0
190,2026-02-25,Referral,2,28481,16070,0
191,2026-03-05,Paid,4,159960,85179,0
192,2026-02-08,Organic,3,161973,65696,0
193,2026-05-10,Organic,4,59960,35845,0
194,2026-07-30,Organic,4,341962,160659,0
195,2026-06-27,Referral,4,239960,88970,0
196,2026-01-24,Organic,2,49980,21188,0
197,2026-07-11,Organic,4,159960,84111,0
198,2026-07-22,Email,4,239960,136429,0
199,2026-03-27,Organic,4,50966,18738,0
200,2026-05-28,Paid,3,179970,94396,0
201,2026-06-22,Email,1,89990,48049,1
202,2026-04-04,Email,1,14240,6285,0
203,2026-02-22,Paid,2,152983,56106,0
204,2026-07-12,Paid,3,67473,25531,0
205,2026-04-19,Email,2,79980,45947,0
206,2026-05-15,Organic,1,14990,6540,0
207,2026-04-26,Email,4,305966,170222,0
208,2026-02-15,Email,1,23740,8827,0
209,2026-05-08,Paid,1,14990,6280,0
210,2026-06-24,Paid,2,152983,54411,0
211,2026-03-16,Paid,4,151962,70049,0
212,2026-03-27,Referral,1,14990,8375,0
213,2026-08-04,Referral,3,113971,56796,0
214,2026-02-13,Email,4,143964,55136,0
215,2026-01-13,Paid,2,119980,71109,0
216,2026-02-11,Email,3,113971,67135,0
217,2026-02-09,Paid,2,42483,22227,0
218,2026-04-23,Email,2,29980,17941,0
219,2026-03-23,Email,3,74970,36781,1
220,2026-03-19,Organic,2,75981,36848,0
221,2026-03-23,Paid,1,56990,30895,0
222,2026-05-02,Email,1,80991,35054,0
223,2026-06-26,Organic,2,152983,88228,0
224,2026-01-07,Referral,4,59960,31149,0
225,2026-06-14,Paid,2,119980,44766,1
226,2026-04-25,Organic,2,79980,28443,0
227,2026-01-15,Email,4,94962,40780,0
228,2026-04-06,Organic,4,84966,47874,0
229,2026-05-24,Organic,3,119970,51229,0
230,2026-03-15,Paid,2,101983,61001,0
231,2026-02-06,Paid,4,239960,134108,0
232,2026-06-01,Referral,3,161973,96642,1
233,2026-02-14,Referral,1,14240,7258,0
234,2026-05-06,Organic,2,49980,27892,0
235,2026-02-27,Organic,3,269970,127837,0
236,2026-06-12,Referral,1,24990,10621,0
237,2026-06-15,Paid,1,37990,15000,0
238,2026-06-03,Email,1,14990,7094,0
239,2026-05-02,Organic,4,341962,193922,0
240,2026-02-11,Organic,3,229474,113317,0
241,2026-02-11,Organic,2,75981,43277,0
242,2026-01-13,Email,3,113971,58018,0
243,2026-07-16,Paid,3,229474,134031,0
244,2026-07-31,Email,1,89990,43728,0
245,2026-02-06,Organic,3,119970,58018,0
246,2026-03-29,Paid,2,179980,79776,0
247,2026-07-23,Organic,1,24990,11891,0
248,2026-01-05,Referral,4,239960,90978,0
249,2026-06-02,Email,3,101974,44934,0
250,2026-02-02,Paid,2,79980,42878,0
251,2026-04-19,Organic,2,79980,32188,0
252,2026-01-28,Organic,1,14240,7680,1
253,2026-03-19,Organic,1,59990,34622,1
254,2026-02-17,Email,1,13491,5414,0
255,2026-05-29,Email,1,14990,8416,0
256,2026-05-10,Organic,3,67473,36786,0
257,2026-03-14,Paid,1,89990,43394,0
258,2026-05-02,Email,1,14990,8695,0
259,2026-04-01,Referral,2,101983,60112,0
260,2026-03-22,Organic,4,89964,36605,0
261,2026-06-30,Email,4,53964,20720,0
262,2026-04-27,Email,1,14990,7096,0
263,2026-04-20,Paid,4,89964,40647,0
264,2026-06-22,Referral,1,50991,22530,1
265,2026-01-31,Paid,1,56990,27393,0
266,2026-02-13,Organic,4,203966,101501,0
267,2026-04-14,Organic,3,74970,29992,0
268,2026-07-16,Email,2,101983,48419,0
269,2026-05-05,Email,4,151962,78514,0
270,2026-03-01,Paid,2,119980,45658,0
271,2026-06-23,Organic,1,12741,4627,1
272,2026-06-09,Organic,2,107982,56129,0
273,2026-06-19,Referral,1,85490,46864,0
274,2026-05-19,Organic,4,359960,174800,0
275,2026-04-07,Referral,1,59990,26749,0
276,2026-07-19,Email,4,59960,23637,0
277,2026-05-05,Organic,2,113981,43725,0
278,2026-05-24,Paid,4,305966,148347,0
279,2026-06-07,Email,1,59990,28415,0
280,2026-08-03,Email,3,119970,42833,1
281,2026-04-08,Organic,3,269970,146134,0
282,2026-03-04,Paid,4,159960,72459,1
283,2026-03-20,Organic,2,71982,26722,0
284,2026-06-18,Referral,3,74970,36330,1
285,2026-03-23,Referral,4,159960,83817,0
286,2026-06-26,Paid,4,143964,53904,0
287,2026-02-12,Email,3,161973,89549,0
288,2026-07-21,Organic,3,179970,85348,0
289,2026-04-13,Paid,2,79980,28943,0
290,2026-05-26,Referral,1,89990,44811,0
291,2026-03-19,Email,4,99960,54869,0
292,2026-06-09,Referral,4,359960,143990,0
293,2026-05-28,Referral,2,25483,13399,0
294,2026-06-07,Referral,2,119980,70103,0
295,2026-02-08,Email,1,89990,39691,0
296,2026-06-12,Paid,4,239960,135588,0
297,2026-06-03,Paid,4,159960,81821,0
298,2026-07-24,Email,4,99960,38733,1
299,2026-01-10,Paid,4,215964,129108,0
300,2026-03-13,Paid,2,79980,28575,0
301,2026-03-22,Email,1,59990,21826,0
302,2026-04-12,Paid,1,59990,31069,0
303,2026-05-14,Email,2,26982,14398,0
304,2026-03-22,Email,4,59960,29977,0
305,2026-02-24,Email,4,94962,38412,0
306,2026-05-17,Email,4,239960,135751,1
307,2026-03-13,Paid,1,35991,16409,0
308,2026-06-15,Organic,3,152974,67604,0
309,2026-06-29,Email,1,24990,12199,0
310,2026-04-11,Email,1,89990,50791,0
311,2026-02-11,Referral,3,44970,19083,0
312,2026-07-19,Referral,3,179970,75319,0
313,2026-07-29,Organic,4,239960,127021,0
314,2026-07-06,Email,2,71982,26388,0
315,2026-04-24,Paid,4,59960,30600,0
316,2026-01-22,Organic,1,59990,30419,0
317,2026-06-16,Paid,2,44982,23768,0
318,2026-03-08,Paid,4,151962,71360,0
319,2026-04-11,Referral,3,119970,44520,0
320,2026-06-10,Paid,2,29980,17411,0
321,2026-01-13,Referral,1,59990,24922,0
322,2026-02-13,Organic,4,359960,139417,0
323,2026-07-31,Referral,1,85490,46450,0
324,2026-07-28,Email,1,21241,8513,0
325,2026-06-03,Paid,3,170971,65404,0
326,2026-01-08,Email,3,71221,28138,0
327,2026-05-30,Referral,3,67473,31222,0
328,2026-06-27,Referral,1,14240,5458,0
329,2026-01-19,Organic,2,101983,46486,0
330,2026-04-01,Organic,1,14990,8735,0
331,2026-04-12,Email,1,35991,18172,0
332,2026-05-09,Referral,2,179980,89112,0
333,2026-04-21,Paid,3,179970,67022,0
334,2026-08-02,Email,3,44970,16235,0
335,2026-08-01,Email,3,179970,103608,0
336,2026-07-15,Paid,3,179970,77186,0
337,2026-01-10,Referral,4,59960,23213,0
338,2026-05-07,Organic,3,63724,29745,0
339,2026-01-29,Paid,4,135966,66652,0
340,2026-08-02,Paid,1,39990,16033,0
341,2026-01-02,Paid,3,229474,113915,0
342,2026-03-26,Organic,4,59960,32502,0
343,2026-01-28,Email,3,42721,18942,0
344,2026-05-03,Referral,2,29980,13942,0
345,2026-06-17,Referral,3,229474,80648,0
346,2026-06-14,Email,3,269970,108755,1
347,2026-04-08,Organic,3,38224,14054,0
348,2026-04-13,Organic,4,159960,65586,0
349,2026-06-15,Paid,1,24990,11173,0
350,2026-03-21,Paid,1,37990,20904,0
351,2026-04-10,Referral,3,44970,21503,0
352,2026-07-27,Email,3,242973,110739,0
353,2026-03-29,Referral,2,101983,46555,1
354,2026-01-22,Email,2,47481,22877,0
355,2026-02-08,Paid,4,239960,138409,0
356,2026-05-22,Organic,3,67473,30830,0
357,2026-04-29,Email,1,89990,42984,0
358,2026-01-30,Referral,3,107973,39997,0
359,2026-06-30,Email,2,47481,17155,0
360,2026-06-09,Email,3,229474,106418,0
361,2026-06-04,Email,3,74970,29708,0
362,2026-01-04,Paid,1,53991,19138,0
363,2026-07-10,Referral,4,203966,92044,0
364,2026-06-26,Referral,3,242973,106952,0
365,2026-07-28,Organic,3,44970,17258,0
366,2026-03-03,Referral,2,29980,14098,0
367,2026-04-19,Organic,2,29980,16262,0
368,2026-05-05,Referral,1,24990,13362,0
369,2026-08-01,Referral,1,53991,22171,0
370,2026-04-21,Referral,1,39990,15022,0
371,2026-01-10,Referral,4,323964,172598,0
372,2026-06-23,Referral,4,215964,107498,0
373,2026-05-22,Organic,2,26982,9571,0
374,2026-06-15,Email,3,170971,64838,0
375,2026-05-01,Email,4,239960,93664,0
376,2026-03-28,Referral,4,89964,36428,0
377,2026-08-02,Email,2,67983,35884,0
378,2026-01-23,Referral,4,89964,36147,0
379,2026-07-23,Referral,2,49980,19446,0
380,2026-01-05,Email,4,159960,64361,1
381,2026-05-09,Organic,3,101974,39734,0
382,2026-05-24,Paid,1,37990,14378,0
383,2026-07-17,Email,4,159960,87373,0
384,2026-04-23,Referral,2,161982,83804,0
385,2026-01-27,Organic,1,13491,6778,0
386,2026-04-03,Paid,1,21241,8061,0
387,2026-02-09,Email,3,161973,76872,0
388,2026-04-17,Organic,3,74970,42144,0
389,2026-03-10,Email,2,119980,50594,0
390,2026-07-12,Referral,4,135966,70192,0
391,2026-04-28,Email,2,47481,21525,0
392,2026-05-13,Organic,1,59990,32546,0
393,2026-04-22,Organic,1,39990,18012,0
394,2026-05-28,Organic,4,50966,29592,0
395,2026-03-19,Email,3,170971,97700,0
396,2026-02-07,Referral,3,44970,25860,0
397,2026-04-24,Email,4,89964,45529,0
398,2026-04-10,Paid,4,99960,37092,0
399,2026-03-29,Paid,3,74970,35829,0
400,2026-07-18,Email,1,13491,6720,0
401,2026-03-08,Email,4,359960,191857,0
402,2026-05-27,Organic,1,12741,7457,0
403,2026-05-25,Paid,4,159960,88193,0
404,2026-05-27,Paid,3,119970,61992,0
405,2026-05-30,Paid,4,305966,126029,0
406,2026-04-16,Organic,3,179970,69583,0
407,2026-04-25,Organic,1,14240,8147,0
408,2026-04-12,Email,3,256471,127481,0
409,2026-07-07,Referral,4,227962,119054,0
410,2026-02-03,Organic,2,44982,17173,0
411,2026-05-24,Email,2,113981,40822,0
412,2026-03-16,Organic,1,85490,32279,0
413,2026-03-17,Referral,2,29980,12778,0
414,2026-03-20,Email,1,24990,13643,0
415,2026-03-31,Organic,2,42483,20060,0
416,2026-03-28,Referral,1,56990,28111,0
417,2026-04-28,Referral,4,359960,194553,0
418,2026-06-20,Referral,4,84966,36646,0
419,2026-06-21,Referral,4,94962,41284,1
420,2026-07-23,Email,3,44970,23690,0
421,2026-05-28,Organic,1,89990,35825,0
422,2026-05-17,Paid,2,107982,62004,0
423,2026-05-29,Referral,1,39990,16448,0
424,2026-05-06,Organic,1,80991,34834,0
425,2026-03-23,Referral,3,179970,81658,0
426,2026-03-15,Paid,3,44970,26754,0
427,2026-06-23,Paid,2,79980,31076,0
428,2026-03-18,Referral,1,89990,35578,0
429,2026-04-07,Organic,1,39990,18123,0
430,2026-05-07,Referral,1,24990,13445,0
431,2026-01-17,Referral,1,39990,17179,0
432,2026-03-10,Organic,1,50991,20826,0
433,2026-04-15,Referral,2,152983,83575,0
434,2026-05-19,Paid,1,89990,49109,0
435,2026-01-11,Organic,2,170981,100936,0
436,2026-01-16,Referral,4,359960,184754,0
437,2026-03-31,Paid,3,269970,151148,0
438,2026-03-18,Organic,3,44970,24049,0
439,2026-04-21,Paid,4,59960,31854,0
440,2026-04-26,Email,3,101974,42353,0
441,2026-03-26,Organic,2,79980,32204,0
442,2026-06-22,Paid,2,26982,12658,0
443,2026-05-18,Organic,4,305966,160884,0
444,2026-04-24,Organic,1,89990,51577,0
445,2026-07-16,Organic,3,161973,71185,0
446,2026-02-26,Organic,1,59990,35037,0
447,2026-03-19,Paid,3,119970,44687,0
448,2026-06-30,Paid,2,119980,43096,0
449,2026-05-26,Referral,1,21241,9537,0
450,2026-06-24,Paid,2,179980,92682,0
451,2026-05-26,Paid,1,89990,48279,0
452,2026-06-23,Email,3,63724,22671,0
453,2026-01-14,Email,4,56962,29064,0
454,2026-05-07,Email,4,239960,91287,0
455,2026-04-25,Email,1,24990,10482,0
456,2026-07-26,Organic,1,59990,26016,0
457,2026-03-26,Email,2,119980,69498,0
458,2026-06-01,Email,1,14990,7045,0
459,2026-08-02,Organic,3,74970,35115,0
460,2026-06-08,Referral,3,269970,158171,0
461,2026-01-09,Referral,1,53991,20581,0
462,2026-01-15,Email,3,44970,16436,0
463,2026-03-17,Referral,4,59960,31142,0
464,2026-06-03,Organic,4,53964,29032,0
465,2026-06-08,Organic,4,227962,125103,0
466,2026-01-28,Organic,3,42721,20476,0
467,2026-02-19,Paid,1,76491,28063,0
468,2026-02-17,Paid,3,113971,53606,0
469,2026-05-12,Email,2,29980,11449,0
470,2026-03-21,Email,3,242973,132146,0
471,2026-02-07,Organic,3,119970,57516,0
472,2026-02-20,Paid,2,161982,91467,0
473,2026-06-27,Referral,2,29980,11912,0
474,2026-04-18,Email,3,242973,143540,0
475,2026-05-07,Paid,2,28481,16206,0
476,2026-03-03,Referral,1,21241,8657,0
477,2026-01-02,Email,3,179970,81000,0
478,2026-03-16,Referral,1,14990,5358,0
479,2026-02-20,Email,2,179980,64968,1
480,2026-05-22,Paid,2,49980,26474,0
481,2026-01-26,Organic,2,49980,19693,0
482,2026-02-23,Email,2,101983,55769,0
483,2026-05-15,Referral,4,99960,55215,0
484,2026-02-18,Paid,1,14990,8554,0
485,2026-03-04,Organic,4,159960,79961,0
486,2026-01-14,Email,2,179980,98520,0
487,2026-01-21,Referral,2,161982,92566,0
488,2026-07-12,Email,1,22491,10054,0
489,2026-05-15,Referral,4,341962,134989,0
490,2026-07-22,Organic,4,239960,118851,0
491,2026-02-25,Email,2,49980,23141,0
492,2026-03-07,Organic,4,215964,84075,0
493,2026-05-30,Organic,2,29980,13824,0
494,2026-04-21,Referral,4,323964,140630,0
495,2026-04-24,Paid,3,179970,75273,1
496,2026-05-09,Organic,3,44970,25874,0
497,2026-05-20,Paid,3,74970,28462,0
498,2026-07-28,Email,3,63724,27548,0
499,2026-07-09,Email,2,179980,107916,0
500,2026-04-14,Referral,1,39990,22217,0
501,2026-02-08,Referral,1,50991,24381,0
502,2026-05-13,Referral,2,42483,22825,0
503,2026-07-17,Referral,4,159960,68505,0
504,2026-02-05,Paid,2,113981,64198,1
505,2026-03-28,Paid,3,42721,23607,0
506,2026-06-26,Email,4,203966,109765,0
507,2026-02-05,Paid,3,269970,132796,1
508,2026-05-27,Referral,3,229474,126161,0
509,2026-05-02,Organic,4,94962,34749,0
510,2026-02-13,Organic,3,256471,130736,0
511,2026-02-20,Organic,2,25483,12762,1
512,2026-01-18,Referral,4,159960,65305,0
513,2026-04-16,Referral,1,35991,12696,0
514,2026-01-18,Referral,2,29980,14513,0
515,2026-06-20,Referral,2,49980,21363,0
516,2026-05-09,Referral,2,161982,94725,0
517,2026-07-31,Referral,3,74970,44814,0
518,2026-04-28,Referral,2,179980,103952,0
519,2026-03-30,Email,1,14990,7668,0
520,2026-06-08,Referral,4,359960,163336,0
521,2026-04-11,Organic,4,203966,80742,0
522,2026-06-20,Organic,2,49980,28520,0
523,2026-04-05,Organic,2,113981,68171,0
524,2026-02-23,Organic,1,89990,40722,0
525,2026-04-29,Referral,4,59960,30562,0
526,2026-01-30,Paid,3,179970,80836,1
527,2026-06-18,Paid,3,170971,79559,0
528,2026-02-13,Organic,4,94962,52714,0
529,2026-02-13,Organic,1,24990,9522,0
530,2026-07-02,Organic,1,39990,18401,0
531,2026-05-14,Organic,2,101983,36911,0
532,2026-07-17,Referral,4,151962,55177,1
533,2026-01-05,Referral,2,49980,28847,0
534,2026-01-17,Paid,1,14990,8321,0
535,2026-01-28,Email,1,21241,8321,0
536,2026-05-19,Referral,3,229474,91189,0
537,2026-02-14,Organic,4,59960,24190,0
538,2026-01-17,Email,4,159960,71549,0
539,2026-07-16,Referral,3,44970,25694,0
540,2026-06-03,Email,1,80991,31818,0
541,2026-06-26,Email,4,99960,39367,0
542,2026-04-25,Referral,4,59960,21250,0
543,2026-01-06,Organic,2,161982,85228,1
544,2026-01-21,Organic,3,63724,29129,0
545,2026-02-22,Organic,2,75981,32227,0
546,2026-03-13,Email,2,170981,91443,0
547,2026-01-07,Paid,1,85490,43771,0
548,2026-06-20,Paid,3,119970,48162,1
549,2026-06-11,Organic,2,170981,82133,0
550,2026-02-06,Paid,1,59990,35299,1
551,2026-02-22,Paid,2,29980,14934,0
552,2026-02-20,Paid,1,50991,23800,0
553,2026-04-25,Paid,4,89964,37086,0
554,2026-04-07,Paid,3,179970,105777,0
555,2026-07-14,Paid,4,227962,108583,0
556,2026-03-18,Paid,4,56962,26023,0
557,2026-04-07,Referral,2,75981,35400,0
558,2026-02-18,Organic,1,39990,21143,0
559,2026-04-17,Referral,1,76491,40642,0
560,2026-01-19,Referral,3,170971,72996,0
561,2026-07-15,Referral,1,14240,8302,0
562,2026-04-05,Organic,3,107973,56932,0
563,2026-07-28,Email,4,203966,83972,0
564,2026-02-07,Email,1,24990,12528,0
565,2026-01-04,Organic,2,161982,95236,0
566,2026-01-21,Paid,1,56990,30006,0
567,2026-05-17,Referral,4,94962,39239,0
568,2026-05-27,Email,3,152974,86790,0
569,2026-06-28,Email,2,67983,27355,0
570,2026-06-28,Referral,1,23740,8318,1
571,2026-02-17,Paid,4,135966,62236,0
572,2026-05-26,Paid,2,119980,57068,0
573,2026-02-19,Email,2,49980,26863,0
574,2026-06-12,Paid,4,203966,117941,0
575,2026-03-29,Organic,1,39990,17772,0
576,2026-01-16,Email,2,113981,59065,0
577,2026-01-02,Referral,1,89990,33675,0
578,2026-03-28,Email,3,170971,92192,0
579,2026-04-07,Organic,3,119970,70212,0
580,2026-04-13,Paid,3,119970,42082,0
581,2026-06-29,Paid,1,89990,51046,0
582,2026-05-12,Referral,3,161973,84476,0
583,2026-01-05,Email,2,25483,15019,0
584,2026-04-13,Organic,1,33991,15672,0
585,2026-01-26,Referral,3,170971,102021,0
586,2026-05-27,Organic,3,269970,142540,0
587,2026-05-21,Referral,2,119980,51031,0
588,2026-03-04,Paid,2,119980,56455,0
589,2026-02-11,Email,2,29980,13752,0
590,2026-06-21,Organic,4,159960,84745,0
591,2026-06-27,Email,2,152983,81288,0
592,2026-07-03,Referral,2,161982,59312,0
593,2026-01-29,Organic,4,99960,41460,0
594,2026-04-05,Paid,3,269970,144745,0
595,2026-06-01,Paid,3,161973,86530,0
596,2026-07-23,Paid,4,239960,130255,0
597,2026-03-22,Paid,2,28481,10033,0
598,2026-03-14,Paid,3,71221,37034,0
599,2026-02-01,Email,1,89990,38445,0
600,2026-01-16,Email,4,94962,40156,0
601,2026-07-08,Organic,2,42483,24793,0
602,2026-06-18,Paid,2,101983,45683,0
603,2026-03-31,Referral,1,85490,37132,0
604,2026-02-19,Referral,4,53964,28692,0
605,2026-07-26,Organic,1,24990,13446,0
606,2026-06-28,Referral,3,152974,59801,0
607,2026-07-08,Organic,3,74970,30327,0
608,2026-02-07,Referral,3,269970,140270,0
609,2026-02-15,Organic,4,99960,37386,0
610,2026-02-08,Referral,1,76491,33244,0
611,2026-06-26,Paid,2,29980,12298,0
612,2026-03-12,Referral,4,56962,32253,0
