customer_id,segment,mrr_clp,tenure_months,health_score,churned,support_tickets_90d
66,Mid-Market,650000,7,38,0,2
67,Enterprise,250000,9,43,0,0
68,Enterprise,400000,42,46,0,3
69,Enterprise,650000,48,44,0,10
70,SMB,250000,14,36,0,1
71,Mid-Market,400000,47,74,0,5
72,SMB,120000,16,60,0,8
73,Enterprise,400000,39,61,0,0
74,Enterprise,650000,20,51,0,3
75,SMB,650000,26,62,0,7
76,Enterprise,250000,8,55,0,1
77,SMB,400000,1,71,0,6
78,SMB,400000,27,71,0,7
79,SMB,90000,2,33,1,0
80,Enterprise,90000,26,89,0,8
81,Enterprise,250000,28,76,0,8
82,SMB,400000,10,60,0,8
83,Enterprise,120000,10,93,0,10
84,Mid-Market,650000,44,33,0,3
85,SMB,90000,16,36,0,7
86,Enterprise,400000,39,32,0,10
87,SMB,650000,12,40,1,0
88,Enterprise,120000,32,69,0,4
89,Mid-Market,120000,24,41,0,1
90,SMB,90000,22,79,0,4
91,Enterprise,650000,37,34,0,5
92,SMB,90000,32,97,0,4
93,Enterprise,90000,37,39,0,0
94,Mid-Market,90000,1,56,0,6
95,Enterprise,120000,12,29,0,10
96,Enterprise,250000,15,66,0,5
97,Enterprise,180000,5,98,0,10
98,SMB,90000,12,53,0,6
99,Mid-Market,90000,30,61,0,5
100,SMB,90000,36,83,1,4
101,Enterprise,400000,20,56,0,7
102,SMB,120000,47,94,0,2
103,Mid-Market,90000,27,28,0,10
104,Enterprise,650000,1,67,1,6
105,Enterprise,650000,47,64,0,3
106,SMB,250000,32,32,0,4
107,Enterprise,90000,3,54,0,6
108,SMB,650000,24,83,0,9
109,Mid-Market,90000,33,42,0,1
110,SMB,400000,37,32,0,3
111,Mid-Market,180000,17,65,0,5
112,SMB,180000,29,59,0,2
113,Mid-Market,400000,7,44,0,7
114,SMB,180000,27,40,0,7
115,SMB,180000,30,58,0,2
116,Mid-Market,650000,20,30,0,2
117,Mid-Market,90000,46,56,0,8
118,SMB,90000,44,63,0,0
119,SMB,250000,29,96,0,1
120,SMB,250000,7,42,0,3
121,Enterprise,120000,13,76,0,10
122,SMB,90000,38,58,0,0
123,SMB,90000,13,81,0,5
124,Enterprise,90000,3,84,0,6
125,Enterprise,650000,26,88,1,6
126,Mid-Market,120000,23,52,0,4
127,Enterprise,250000,10,29,0,3
128,Enterprise,650000,19,88,0,7
129,Mid-Market,90000,6,60,0,3
130,Enterprise,650000,34,56,0,0
131,Mid-Market,250000,46,70,0,5
132,SMB,400000,33,66,0,0
133,Mid-Market,180000,39,53,1,0
134,SMB,250000,34,70,0,2
135,Enterprise,90000,16,55,0,0
136,SMB,120000,37,74,0,2
137,Enterprise,120000,38,65,0,5
138,Enterprise,400000,2,70,0,2
139,SMB,400000,13,88,0,7
140,SMB,90000,6,32,0,0
141,Enterprise,400000,31,25,0,3
142,Mid-Market,120000,22,47,0,0
143,Enterprise,90000,10,43,0,5
144,Mid-Market,90000,24,75,0,4
145,Mid-Market,180000,9,45,0,10
146,Enterprise,250000,42,65,0,9
147,Enterprise,180000,15,47,0,4
148,Enterprise,120000,12,25,0,6
149,Enterprise,400000,3,48,0,3
150,SMB,650000,37,38,0,5
151,Mid-Market,650000,5,55,0,2
152,Mid-Market,650000,6,67,0,3
153,SMB,120000,45,33,0,0
154,SMB,90000,25,81,0,6
155,SMB,250000,25,69,0,7
156,SMB,400000,42,53,0,0
157,SMB,180000,2,65,0,1
158,SMB,180000,11,73,0,8
159,Mid-Market,90000,22,86,0,10
160,SMB,120000,39,80,0,5
161,Enterprise,120000,13,77,0,8
162,SMB,180000,43,61,0,0
163,SMB,250000,37,95,0,0
164,Enterprise,180000,1,79,0,10
165,SMB,400000,31,50,0,2
166,SMB,650000,19,35,0,4
167,Mid-Market,250000,31,87,0,1
168,Mid-Market,650000,35,74,0,5
169,Mid-Market,120000,29,30,0,4
170,Enterprise,120000,18,97,0,10
171,Mid-Market,90000,6,69,0,9
172,Enterprise,120000,36,32,0,6
173,SMB,400000,44,85,0,7
174,Enterprise,180000,6,75,0,0
175,Enterprise,400000,37,91,0,9
176,SMB,120000,8,82,0,3
177,Enterprise,120000,9,30,0,6
178,Mid-Market,120000,41,43,0,5
179,Mid-Market,650000,5,36,0,8
180,SMB,180000,18,91,0,9
181,SMB,400000,34,78,0,2
182,Enterprise,400000,38,37,0,1
183,Mid-Market,180000,35,69,0,6
184,SMB,650000,32,98,0,2
185,Enterprise,180000,26,43,0,6
186,SMB,90000,26,67,0,7
187,Mid-Market,180000,24,27,0,4
188,SMB,180000,32,37,0,2
189,Mid-Market,180000,48,81,0,4
190,SMB,650000,27,36,0,6
191,SMB,650000,32,91,0,8
192,Mid-Market,120000,5,64,0,2
193,SMB,400000,37,28,0,0
194,Mid-Market,120000,3,83,0,3
195,Enterprise,180000,24,84,0,1
196,Enterprise,650000,2,55,0,7
197,SMB,120000,31,95,0,4
198,Mid-Market,650000,45,36,0,0
199,Enterprise,120000,37,52,0,3
200,Enterprise,650000,14,59,0,0
201,Enterprise,650000,1,85,0,2
202,Mid-Market,400000,1,53,0,10
203,Mid-Market,180000,28,73,0,4
204,Enterprise,120000,30,63,0,6
205,Enterprise,400000,7,25,0,5
206,SMB,400000,42,61,0,7
207,Mid-Market,90000,22,60,0,4
208,Enterprise,650000,46,63,0,3
209,Enterprise,90000,39,76,0,2
210,Mid-Market,650000,2,88,0,6
211,Enterprise,250000,25,29,0,3
212,Enterprise,180000,47,53,0,7
213,SMB,650000,23,89,0,10
214,SMB,400000,12,62,0,4
215,Mid-Market,650000,36,48,0,10
216,Mid-Market,90000,15,70,0,6
217,Mid-Market,180000,24,58,0,1
218,SMB,250000,4,34,0,8
219,Mid-Market,90000,44,73,0,0
220,Enterprise,120000,9,50,0,7
221,Mid-Market,120000,21,48,0,5
222,SMB,650000,12,65,0,7
223,SMB,180000,14,46,0,7
224,Mid-Market,90000,9,80,0,6
225,SMB,250000,25,25,1,5
226,Enterprise,90000,21,92,0,0
227,Mid-Market,650000,47,56,0,4
228,Mid-Market,120000,7,74,0,2
229,Mid-Market,90000,3,63,0,8
230,Enterprise,400000,34,68,0,2
231,SMB,180000,32,70,0,6
232,SMB,90000,15,53,0,3
233,Mid-Market,650000,2,89,0,10
234,Enterprise,90000,25,57,0,0
235,SMB,400000,4,38,0,0
236,SMB,650000,8,78,0,8
237,Enterprise,180000,31,44,0,10
238,Enterprise,90000,20,78,0,8
239,SMB,180000,40,42,0,8
240,SMB,650000,40,40,0,7
241,Enterprise,120000,39,50,0,3
242,SMB,180000,46,77,0,8
243,SMB,250000,14,86,0,0
244,Enterprise,650000,6,39,0,7
245,Enterprise,120000,6,90,0,1
246,Mid-Market,180000,42,54,0,4
247,SMB,250000,4,37,0,4
248,SMB,180000,44,65,0,1
249,SMB,90000,1,42,0,5
250,SMB,180000,29,59,0,5
251,Mid-Market,180000,12,39,0,4
252,Enterprise,250000,45,86,0,2
253,SMB,90000,9,32,0,1
254,Enterprise,250000,38,86,0,7
255,Enterprise,120000,40,73,0,0
256,Mid-Market,650000,47,41,0,1
257,Enterprise,250000,29,30,1,5
258,Enterprise,90000,46,92,0,9
259,Enterprise,120000,43,68,0,9
260,Enterprise,90000,28,56,0,10
261,Enterprise,650000,25,44,0,9
262,Mid-Market,90000,1,45,0,7
263,Mid-Market,120000,5,87,0,4
264,Mid-Market,90000,33,53,0,6
265,Enterprise,120000,6,83,0,7
266,Mid-Market,90000,32,82,0,10
267,Enterprise,90000,7,76,0,8
268,Enterprise,90000,6,63,0,3
269,Mid-Market,650000,43,83,0,0
270,Enterprise,120000,30,67,0,9
271,SMB,250000,46,71,0,1
272,Enterprise,650000,15,25,0,4
273,SMB,400000,34,72,0,2
274,Enterprise,250000,9,77,0,3
275,SMB,120000,8,75,0,5
276,Enterprise,90000,27,30,0,9
277,Enterprise,90000,29,83,0,2
278,Enterprise,250000,1,92,0,6
279,SMB,400000,31,90,0,9
280,Enterprise,120000,47,41,0,9
281,Mid-Market,400000,21,89,0,9
282,Mid-Market,650000,16,60,0,4
283,Enterprise,250000,9,42,0,8
284,Enterprise,180000,45,95,0,8
285,Enterprise,650000,14,50,0,4
286,Enterprise,650000,23,41,0,2
287,Mid-Market,400000,35,66,0,8
288,Enterprise,250000,38,98,0,6
289,Mid-Market,650000,48,93,0,0
290,SMB,400000,7,28,0,10
291,SMB,90000,13,59,0,4
292,Enterprise,650000,17,43,0,4
293,Mid-Market,120000,35,29,0,1
294,Enterprise,400000,44,96,0,10
295,Enterprise,400000,25,55,0,4
296,Mid-Market,650000,43,31,0,6
297,Enterprise,650000,21,95,0,4
298,Enterprise,120000,40,81,0,10
299,SMB,180000,38,94,0,3
300,SMB,180000,29,47,0,2
301,SMB,120000,48,90,0,6
302,Enterprise,180000,36,58,0,4
303,SMB,90000,22,84,0,0
304,Enterprise,120000,21,31,0,9
305,Enterprise,650000,20,87,0,5
306,SMB,90000,46,65,0,8
307,Enterprise,90000,33,45,0,6
308,Enterprise,90000,23,53,0,5
309,Enterprise,180000,24,62,0,8
310,Mid-Market,250000,36,26,0,7
311,Enterprise,120000,42,56,0,5
312,Enterprise,250000,8,74,0,4
313,Enterprise,90000,34,72,0,7
314,SMB,250000,3,62,0,5
315,Enterprise,400000,6,37,0,8
316,Enterprise,90000,41,33,0,3
317,Enterprise,650000,28,38,0,6
318,Enterprise,650000,5,44,1,5
319,Mid-Market,90000,6,34,1,8
320,Mid-Market,90000,37,54,0,6
321,SMB,250000,41,76,0,6
322,Enterprise,650000,8,93,1,9
323,SMB,90000,48,30,0,5
324,Mid-Market,400000,7,62,0,9
325,Enterprise,90000,19,81,0,0
326,Enterprise,250000,11,93,0,6
327,Enterprise,400000,19,43,0,10
328,SMB,180000,1,95,0,1
329,Enterprise,90000,1,98,0,8
330,Enterprise,90000,20,51,0,5
331,SMB,120000,27,90,0,3
332,Enterprise,400000,17,49,0,9
333,SMB,90000,36,84,0,4
334,Enterprise,650000,5,57,0,9
335,Enterprise,250000,22,70,0,3
336,Mid-Market,90000,19,33,0,7
337,SMB,250000,22,64,0,9
338,SMB,400000,24,65,0,0
339,Enterprise,180000,16,53,0,6
340,Mid-Market,180000,24,42,0,7
341,Mid-Market,250000,29,70,0,8
342,SMB,90000,12,35,0,8
343,SMB,120000,17,34,0,8
344,SMB,650000,2,76,0,0
345,Enterprise,400000,17,94,0,7
346,Enterprise,650000,10,71,0,4
347,Mid-Market,120000,30,89,0,5
348,Enterprise,400000,1,55,0,10
349,SMB,120000,33,42,0,9
350,Mid-Market,400000,43,43,0,5
351,Mid-Market,90000,15,87,0,5
352,Mid-Market,120000,3,51,0,6
353,Enterprise,250000,30,30,1,5
354,Mid-Market,90000,46,91,0,4
355,Enterprise,400000,35,97,0,6
356,Mid-Market,180000,38,34,0,3
357,Mid-Market,400000,26,70,0,7
358,SMB,250000,39,25,0,7
359,Mid-Market,120000,15,34,0,3
360,Enterprise,120000,12,45,0,1
361,Enterprise,650000,15,78,0,1
362,Enterprise,250000,44,86,0,2
363,SMB,650000,27,27,0,9
364,SMB,400000,11,42,0,9
365,SMB,120000,4,46,0,8
366,Enterprise,250000,39,97,0,10
367,Mid-Market,180000,6,52,0,7
368,Enterprise,120000,15,77,0,2
369,Enterprise,400000,43,90,0,10
370,Mid-Market,180000,30,33,0,2
371,Enterprise,90000,2,50,0,10
372,Enterprise,250000,10,37,0,9
373,SMB,90000,35,89,0,7
374,Enterprise,650000,9,94,0,10
375,SMB,250000,34,78,0,8
376,Mid-Market,250000,15,86,0,5
377,SMB,400000,48,98,0,4
378,Enterprise,250000,15,35,0,6
379,SMB,180000,13,25,0,9
380,Enterprise,400000,8,91,1,3
381,SMB,650000,21,77,0,6
382,Enterprise,650000,38,57,0,6
383,Mid-Market,400000,24,60,0,3
384,Mid-Market,250000,36,96,0,8
385,Enterprise,400000,31,57,0,5
386,Enterprise,650000,26,42,0,1
387,SMB,650000,15,82,0,1
388,Enterprise,120000,33,76,0,9
389,Enterprise,650000,44,31,0,0
390,Mid-Market,90000,10,85,0,1
391,Enterprise,90000,17,53,0,0
392,Enterprise,650000,25,76,0,4
393,SMB,650000,39,32,0,10
394,Enterprise,250000,29,26,0,8
395,Enterprise,180000,13,29,0,8
396,Mid-Market,650000,15,46,0,3
397,Mid-Market,650000,1,45,0,6
398,SMB,180000,43,75,0,8
399,Enterprise,90000,48,33,0,4
400,Mid-Market,650000,36,69,0,3
401,Enterprise,400000,13,83,0,0
402,Enterprise,180000,12,77,0,1
403,Enterprise,400000,19,68,0,4
404,Mid-Market,400000,37,57,0,9
405,Mid-Market,250000,16,68,0,10
406,Mid-Market,250000,38,28,0,1
407,SMB,250000,41,53,0,5
408,Enterprise,250000,23,91,0,4
409,Enterprise,120000,19,36,0,5
410,Mid-Market,90000,36,47,0,3
411,Enterprise,400000,18,48,0,3
412,SMB,250000,48,50,0,4
413,Enterprise,120000,15,50,0,5
414,Enterprise,120000,7,40,0,10
415,Enterprise,250000,40,25,0,0
416,Enterprise,250000,24,65,0,4
417,SMB,250000,12,90,0,9
418,Mid-Market,120000,4,92,0,8
419,Enterprise,90000,33,69,0,2
420,Enterprise,250000,8,91,0,0
421,SMB,90000,44,51,0,5
422,Mid-Market,180000,40,58,0,3
423,Mid-Market,180000,31,68,0,6
424,Mid-Market,120000,27,72,0,4
425,Enterprise,250000,12,98,0,10
426,Enterprise,120000,7,59,0,6
427,Enterprise,250000,13,43,0,2
428,SMB,250000,1,47,0,10
429,Mid-Market,400000,35,65,0,4
430,Enterprise,400000,37,31,0,2
431,Enterprise,90000,14,57,0,1
432,Mid-Market,250000,48,67,0,8
433,SMB,400000,17,69,1,5
434,Enterprise,650000,39,50,0,10
435,Enterprise,400000,12,61,0,8
436,Mid-Market,250000,48,82,0,9
437,Enterprise,180000,30,43,0,5
438,SMB,250000,41,98,0,1
439,Enterprise,120000,22,54,0,4
440,Mid-Market,650000,18,75,0,5
441,Mid-Market,650000,38,91,0,2
442,Enterprise,120000,2,41,0,4
443,Mid-Market,650000,45,35,0,1
444,SMB,90000,5,85,0,6
445,SMB,400000,6,38,0,1
446,Enterprise,650000,25,64,0,4
447,SMB,250000,41,41,0,0
448,Mid-Market,90000,43,70,0,7
449,SMB,250000,35,59,0,8
450,Enterprise,120000,38,83,0,9
451,Mid-Market,250000,34,93,0,7
452,Mid-Market,400000,15,36,0,6
453,Enterprise,180000,10,63,1,2
454,Enterprise,180000,19,85,0,7
455,Mid-Market,250000,20,26,0,9
456,Mid-Market,120000,1,95,0,8
457,Enterprise,250000,26,56,0,10
458,Mid-Market,250000,25,53,0,10
459,Enterprise,120000,34,59,0,8
460,SMB,180000,27,49,0,2
461,Mid-Market,180000,8,83,0,9
462,SMB,250000,13,66,1,8
463,SMB,90000,12,38,0,7
464,SMB,650000,1,54,0,7
465,Mid-Market,120000,22,78,0,5
466,SMB,250000,45,29,0,0
467,SMB,180000,26,34,0,3
468,Enterprise,180000,25,26,0,3
469,SMB,250000,29,56,0,3
470,SMB,250000,48,37,0,7
471,SMB,250000,44,64,0,10
472,Mid-Market,650000,3,95,0,7
473,SMB,650000,20,50,0,10
474,Mid-Market,120000,8,55,0,0
475,SMB,120000,18,40,0,0
476,SMB,90000,38,85,0,5
477,Enterprise,90000,16,45,0,9
478,Enterprise,180000,41,32,1,2
479,SMB,650000,35,38,0,5
480,Mid-Market,400000,42,69,0,3
481,SMB,90000,45,73,0,4
482,Enterprise,90000,32,81,0,7
483,Mid-Market,120000,37,48,0,7
484,Enterprise,180000,39,95,0,2
485,Mid-Market,250000,19,58,0,0
486,SMB,650000,33,73,0,9
487,SMB,180000,40,55,0,10
488,Mid-Market,400000,25,49,0,8
489,Enterprise,120000,40,61,0,5
490,SMB,90000,7,91,0,2
491,SMB,120000,3,50,0,1
492,Enterprise,90000,37,74,0,9
493,SMB,650000,38,57,0,9
494,SMB,650000,5,26,0,10
495,SMB,250000,6,84,0,5
496,Enterprise,400000,48,78,0,0
497,SMB,400000,18,92,0,4
498,Enterprise,90000,14,91,0,3
499,Enterprise,400000,25,49,0,3
500,Enterprise,400000,41,47,0,6
