lead_id,account,segment,channel,score,status,days_in_stage
167,Lead-167,SMB,Paid Search,53,Won,41
168,Lead-168,Mid-Market,Paid Search,74,New,15
169,Lead-169,Mid-Market,LinkedIn,38,New,11
170,Lead-170,Mid-Market,Event,92,Lost,29
171,Lead-171,SMB,Outbound,58,Opportunity,18
172,Lead-172,Mid-Market,Referral,76,New,3
173,Lead-173,Enterprise,Outbound,61,Opportunity,2
174,Lead-174,SMB,Outbound,93,Opportunity,2
175,Lead-175,Enterprise,Outbound,54,Opportunity,12
176,Lead-176,SMB,Outbound,76,Lost,12
177,Lead-177,Enterprise,Referral,82,Lost,31
178,Lead-178,SMB,LinkedIn,61,Opportunity,11
179,Lead-179,SMB,Outbound,83,Contacted,26
180,Lead-180,Mid-Market,Event,24,Meeting,21
181,Lead-181,SMB,Organic,71,Lost,1
182,Lead-182,Mid-Market,Event,79,Meeting,13
183,Lead-183,Mid-Market,Event,83,Opportunity,4
184,Lead-184,SMB,Event,36,Lost,29
185,Lead-185,Enterprise,Referral,35,New,41
186,Lead-186,Mid-Market,Paid Search,40,Contacted,1
187,Lead-187,Mid-Market,Organic,48,Lost,8
188,Lead-188,SMB,Organic,39,Meeting,19
189,Lead-189,Mid-Market,LinkedIn,73,Won,31
190,Lead-190,SMB,Event,38,Meeting,39
191,Lead-191,Mid-Market,Paid Search,28,Contacted,27
192,Lead-192,SMB,Event,54,Won,19
193,Lead-193,Mid-Market,Event,94,Lost,32
194,Lead-194,Enterprise,Referral,88,Meeting,22
195,Lead-195,Mid-Market,Event,68,Meeting,21
196,Lead-196,Enterprise,Outbound,50,Opportunity,15
197,Lead-197,Enterprise,Referral,25,Contacted,31
198,Lead-198,Mid-Market,Referral,69,Lost,42
199,Lead-199,Enterprise,Referral,24,New,38
200,Lead-200,SMB,Organic,76,New,30
201,Lead-201,SMB,Paid Search,72,Lost,10
202,Lead-202,SMB,LinkedIn,63,Opportunity,26
203,Lead-203,Mid-Market,LinkedIn,88,Meeting,21
204,Lead-204,Mid-Market,Referral,89,New,5
205,Lead-205,SMB,Outbound,56,Lost,6
206,Lead-206,SMB,Organic,32,Meeting,45
207,Lead-207,SMB,Organic,25,Contacted,4
208,Lead-208,SMB,LinkedIn,75,New,34
209,Lead-209,SMB,Outbound,43,New,6
210,Lead-210,Mid-Market,Referral,99,Opportunity,32
211,Lead-211,Enterprise,Paid Search,49,Meeting,17
212,Lead-212,SMB,Outbound,21,Lost,30
213,Lead-213,Enterprise,Outbound,89,New,29
214,Lead-214,Enterprise,Event,58,Opportunity,28
215,Lead-215,Mid-Market,Referral,58,Contacted,25
216,Lead-216,Enterprise,Organic,50,Meeting,23
217,Lead-217,Mid-Market,Outbound,57,New,43
218,Lead-218,SMB,Organic,92,Lost,4
219,Lead-219,Enterprise,Outbound,83,Won,19
220,Lead-220,Mid-Market,Paid Search,97,Won,15
221,Lead-221,Mid-Market,Event,52,Opportunity,43
222,Lead-222,Mid-Market,Paid Search,100,New,41
223,Lead-223,Mid-Market,LinkedIn,76,New,24
224,Lead-224,Mid-Market,Organic,57,Contacted,27
225,Lead-225,SMB,Paid Search,89,Lost,24
226,Lead-226,Mid-Market,LinkedIn,41,Contacted,31
227,Lead-227,Enterprise,LinkedIn,63,Won,30
228,Lead-228,Enterprise,Paid Search,48,Lost,44
229,Lead-229,Enterprise,Event,66,New,26
230,Lead-230,SMB,Event,35,Meeting,44
231,Lead-231,Mid-Market,LinkedIn,94,Meeting,41
232,Lead-232,Enterprise,Organic,49,Meeting,40
233,Lead-233,Enterprise,Event,61,Lost,15
234,Lead-234,Mid-Market,Outbound,79,Lost,20
235,Lead-235,Mid-Market,Organic,37,New,3
236,Lead-236,SMB,Referral,34,New,35
237,Lead-237,SMB,Referral,67,Opportunity,45
238,Lead-238,Enterprise,Referral,95,Opportunity,10
239,Lead-239,Enterprise,Outbound,32,Won,40
240,Lead-240,SMB,LinkedIn,24,Opportunity,14
241,Lead-241,SMB,Paid Search,66,New,44
242,Lead-242,SMB,Outbound,65,New,18
243,Lead-243,SMB,Organic,78,New,14
244,Lead-244,Mid-Market,Event,22,New,22
245,Lead-245,SMB,Paid Search,92,Contacted,36
246,Lead-246,SMB,Paid Search,49,Contacted,10
247,Lead-247,Mid-Market,Event,20,Contacted,10
248,Lead-248,Enterprise,Event,52,Won,8
249,Lead-249,Mid-Market,Organic,36,New,16
250,Lead-250,Mid-Market,Organic,42,Contacted,9
251,Lead-251,Mid-Market,Event,34,Opportunity,31
252,Lead-252,SMB,LinkedIn,85,Opportunity,29
253,Lead-253,Mid-Market,Event,25,Opportunity,43
254,Lead-254,Mid-Market,Referral,23,New,31
255,Lead-255,Mid-Market,Referral,33,Meeting,29
256,Lead-256,SMB,Organic,61,Opportunity,5
257,Lead-257,SMB,Event,94,Meeting,21
258,Lead-258,SMB,Event,87,Contacted,33
259,Lead-259,Mid-Market,Organic,34,Won,42
260,Lead-260,Enterprise,Event,47,Meeting,15
261,Lead-261,SMB,Referral,71,Meeting,7
262,Lead-262,SMB,LinkedIn,52,Contacted,10
263,Lead-263,Mid-Market,Referral,28,New,6
264,Lead-264,SMB,Organic,67,Won,36
265,Lead-265,SMB,Event,91,Contacted,8
266,Lead-266,SMB,Outbound,74,Lost,4
267,Lead-267,Enterprise,Event,59,Contacted,37
268,Lead-268,Mid-Market,Paid Search,81,Contacted,7
269,Lead-269,SMB,Event,67,New,18
270,Lead-270,Mid-Market,Referral,91,Lost,40
271,Lead-271,Mid-Market,Outbound,91,New,43
272,Lead-272,Mid-Market,LinkedIn,23,Contacted,45
273,Lead-273,Mid-Market,LinkedIn,64,New,10
274,Lead-274,Mid-Market,Referral,28,New,41
275,Lead-275,Enterprise,Organic,87,Contacted,27
276,Lead-276,SMB,Paid Search,67,Contacted,21
277,Lead-277,Mid-Market,Event,96,New,4
278,Lead-278,SMB,Event,26,Opportunity,18
279,Lead-279,SMB,Referral,82,Opportunity,27
280,Lead-280,SMB,Event,34,Contacted,8
281,Lead-281,SMB,Outbound,95,Meeting,43
282,Lead-282,SMB,Paid Search,70,Lost,4
283,Lead-283,SMB,LinkedIn,47,Won,17
284,Lead-284,SMB,Organic,20,Meeting,28
285,Lead-285,SMB,Referral,88,Opportunity,33
286,Lead-286,Mid-Market,Outbound,65,New,3
287,Lead-287,SMB,Referral,29,Lost,37
288,Lead-288,SMB,Referral,73,Contacted,26
289,Lead-289,SMB,LinkedIn,41,Won,40
290,Lead-290,SMB,Outbound,66,New,7
291,Lead-291,SMB,Event,71,Meeting,26
292,Lead-292,Enterprise,Outbound,63,Contacted,11
293,Lead-293,SMB,Outbound,34,Meeting,13
294,Lead-294,Enterprise,LinkedIn,64,Opportunity,42
295,Lead-295,Mid-Market,Paid Search,33,New,13
296,Lead-296,SMB,Paid Search,29,New,41
297,Lead-297,SMB,Event,94,Meeting,37
298,Lead-298,Mid-Market,Event,61,Lost,41
299,Lead-299,SMB,Referral,28,Meeting,41
300,Lead-300,SMB,LinkedIn,95,New,33
