campaign_id,channel,spend_clp,impressions,clicks,conversions,revenue_clp
103,Paid Search,557699,30200,1306,57,15760443
104,Referral,362071,106079,1681,61,29866576
105,LinkedIn,382441,67888,1242,140,75182940
106,LinkedIn,351769,20974,577,41,13400768
107,LinkedIn,203591,43070,246,28,4520152
108,LinkedIn,513864,90979,1320,86,19430926
109,Paid Search,334815,22992,194,18,4418136
110,Organic,103231,92796,3815,147,35584731
111,Paid Search,155065,59172,1037,66,31491240
112,Referral,55433,77135,3401,107,49466421
113,LinkedIn,550641,90267,1099,127,36624768
114,Organic,112036,105758,810,60,24034380
115,Referral,233568,59773,2401,80,11124160
116,Organic,569447,29420,1247,144,39134016
117,LinkedIn,59717,44110,1203,31,9165398
118,Referral,526419,89058,2340,156,29696004
119,Referral,336090,30272,1124,55,27682435
120,LinkedIn,319761,99188,1153,106,56666434
121,Referral,252544,28002,813,66,21951138
122,Paid Search,590310,47982,362,30,6506340
123,Paid Search,550646,47415,2008,31,9954193
124,Organic,518436,103796,1551,76,32328652
125,Organic,324258,90679,1699,67,31497504
126,LinkedIn,538002,45213,476,41,20043506
127,Paid Search,173119,88717,3687,169,74738560
128,LinkedIn,279772,22507,531,33,14440173
129,Paid Search,486045,97004,2572,165,66299310
130,Referral,309486,94173,3290,350,57023050
131,Paid Search,429358,15237,633,16,6514000
132,Paid Search,207131,26566,463,32,5790176
133,Referral,562573,16919,691,42,6265098
134,Referral,188353,72272,1520,112,46252640
135,Paid Search,373139,99801,488,20,2431600
136,Organic,126577,10936,233,20,8074500
137,Paid Search,122371,66875,354,20,10463240
138,Referral,490781,54081,2417,133,42282828
139,LinkedIn,134148,94486,4112,439,83288836
140,Paid Search,174395,28392,1269,71,13260386
141,Referral,53642,104113,513,23,10881461
142,LinkedIn,447700,112919,1514,95,19126160
143,Referral,247636,119715,4037,108,58795092
144,Referral,66405,36544,454,11,1513633
145,Paid Search,101040,37077,1274,72,17485992
146,LinkedIn,109185,23367,576,26,14240356
147,Paid Search,386241,36051,590,17,7924397
148,Paid Search,483649,44387,678,49,21079947
149,Referral,497952,77856,1893,221,101059322
150,Referral,599939,46777,1522,88,24395976
151,LinkedIn,242811,103882,2706,109,25957805
152,Referral,201363,110614,2542,53,17827133
153,Organic,190606,55910,780,28,12853680
154,Organic,521635,116035,2229,158,34738986
155,Paid Search,331502,54436,1721,134,21193306
156,Organic,277558,67835,852,93,25943001
157,Referral,272096,29906,1299,35,18042010
158,LinkedIn,304377,96177,2768,100,24547800
159,LinkedIn,346809,54894,1268,105,29578710
160,Referral,427114,72215,2902,185,100067795
161,Paid Search,385788,31624,607,35,14522340
162,Referral,203011,7125,104,11,4660007
163,Paid Search,359531,24976,300,11,4606063
164,Referral,573555,77173,2379,206,52512078
165,Paid Search,564426,65401,712,70,14612010
166,Organic,562036,29123,1211,87,39714804
167,Organic,599395,9433,362,8,4390920
168,Paid Search,56693,59053,569,46,7159164
169,Referral,59585,33668,832,45,19976535
170,Organic,561552,7061,30,2,252426
171,Referral,338086,75220,3315,55,30048040
172,Paid Search,237974,19026,792,55,13548535
173,LinkedIn,314679,111851,2072,204,32931312
174,LinkedIn,475750,65161,1770,210,50066940
175,Organic,134532,90686,4049,337,46037907
176,Organic,474965,54710,1064,69,31314891
177,LinkedIn,229708,15837,387,23,12218497
178,Referral,149994,74226,3094,121,58437918
179,Organic,334263,11102,465,40,10679840
180,Paid Search,238066,116467,1967,228,97532700
181,Referral,467643,15084,245,18,7507998
182,Organic,397843,55311,1934,57,27439629
183,Paid Search,575119,102708,4513,93,32471880
184,Referral,129710,49642,1430,113,48846510
185,Referral,392230,8883,266,25,8905450
186,Referral,289220,51636,1377,74,16086120
187,Organic,139856,106209,3118,308,152113192
188,Paid Search,136023,40123,414,37,16736802
189,Referral,458548,46507,873,21,5914020
190,Referral,427400,104791,1578,45,9821115
191,Organic,520646,78005,2086,120,16052160
192,Referral,421106,77642,606,47,13634418
193,Paid Search,62940,43253,906,87,43502262
194,LinkedIn,596417,27227,873,28,7307720
195,Referral,331444,69634,695,22,5823026
196,Referral,364313,68469,2471,130,32406920
197,LinkedIn,255047,65012,545,25,8186400
198,Paid Search,448343,110391,4343,265,91627990
199,LinkedIn,365029,47030,1351,118,43794402
200,Referral,236266,57198,2500,114,55216812
